study_id,compartment
GSE11783,bladder_urine
GSE11839,nerve_blood
GSE120103,endometrial
GSE126611,nerve_blood
GSE130435,endometrial
GSE134056,endometrial
GSE135485,endometrial
GSE145701,endometrial
GSE153739,endometrial
GSE153740,endometrial
GSE17504,endometrial
GSE177034,nerve_blood
GSE186505,nerve_blood
GSE193928,endometrial
GSE205494,endometrial
GSE221921,nerve_blood
GSE232713,endometrial
GSE23339,endometrial
GSE235287,nerve_blood
GSE250152,nerve_blood
GSE25628,endometrial
GSE276193,endometrial
GSE278827,endometrial
GSE28242,bladder_urine
GSE315857,endometrial
GSE47603,nerve_blood
GSE51981,endometrial
GSE58178,endometrial
GSE621,bladder_urine
GSE63379,nerve_blood
GSE6364,endometrial
GSE67311,nerve_blood
GSE7305,endometrial
GSE7846,endometrial
