accession,bucket,assay,supp_format,species,n_samples,year,prior_verdict,prior_reason,title
GSE134003,single_cell_nucleus,single_cell,table,Mus musculus,19,2021,pending,usable_pending_file_check,Single cell RNA-seq of the spinal cord in a neuropathic pain model.
GSE155622,single_cell_nucleus,single_cell,table,Mus musculus,314,2021,pending,usable_pending_file_check,Single-Cell Transcriptomic Analysis of Somatosensory Neurons Uncovers Temporal Development of Neuropathic Pain
GSE162807,single_cell_nucleus,single_cell,raw_tar,Homo sapiens; Mus musculus,31,2020,pending,usable_pending_file_check,Single-cell RNA sequencing reveals time- and sex-specific responses of spinal cord microglia to peripheral nerve injury and links ApoE to neuropathic pain
GSE179640,single_cell_nucleus,single_cell,raw_tar,Homo sapiens,59,2022,exclude,single_cell_not_bulk_expression,Single cell analysis of endometriosis reveals a coordinated transcriptional program driving immunotolerance and angiogenesis across eutopic and ectopic tissues
GSE198608,single_cell_nucleus,single_cell,raw_tar,Rattus norvegicus,24,2022,pending,usable_pending_file_check,Single-cell RNA sequencing reveals the link between axonal regeneration and neuropathic pain by modified analysis of a novel peripheral nerve injury rat model
GSE203191,single_cell_nucleus,single_cell,raw_tar,Homo sapiens,11,2022,exclude,no_case_control_split_in_series_matrix,Single cell analysis of menstrual endometrial tissues defines phenotypes associated with endometriosis
GSE213216,single_cell_nucleus,single_cell,raw_tar,Homo sapiens,51,2022,exclude,no_case_control_split_in_series_matrix,A single-cell transcriptomic analysis of endometriosis
GSE214411,single_cell_nucleus,single_cell,raw_tar,Homo sapiens,13,2023,exclude,single_cell_not_bulk_expression,Single-cell Transcriptomics of Endometrial Cells from Patients with Minimal/mild Endometriosis.
GSE222182,single_cell_nucleus,single_cell,raw_tar,Homo sapiens,9,2023,exclude,no_case_control_split_in_series_matrix,Single cell RNA-seq data for studying human intervertebral discs and the mechanism of discogenic low back pain
GSE253345,single_cell_nucleus,single_cell,h5,Mus musculus,9,2024,pending,usable_pending_file_check,The single-cell transcriptomic atlas iPain identifies senescence of nociceptors as a therapeutical target for chronic pain treatment
GSE254360,single_cell_nucleus,single_nucleus,raw_tar,Mus musculus,15,2025,pending,usable_pending_file_check,Single-nucleus transcriptomic analysis of the amygdala of mice in acute and chronic neuropathic pain
GSE266026,single_cell_nucleus,single_cell,raw_tar,Homo sapiens,7,2024,exclude,no_case_control_split_in_series_matrix,Single cell sequencing datasets of tibial nerves from diabetic neuropathy (DPN) patients and traumatic limb amputation (TLA) patients.
GSE266265,single_cell_nucleus,single_cell,r_object,Homo sapiens,60,2026,exclude,no_case_control_split_in_series_matrix,Endometrial Insights: Unmasking Endometriosis through Single-Cell Profiling and AI-Based Prediction
GSE276193,single_cell_nucleus,single_cell,table,Homo sapiens,18,2025,exclude,no_pain_versus_control_contrast,Integrative Single-Cell Analysis Reveals Iron Overload-Induced Senescence and Metabolic Reprogramming in Ovarian Endometriosis-Associated Infertility
GSE283177,single_cell_nucleus,single_cell,raw_tar,Mus musculus,6,2024,pending,usable_pending_file_check,A role for fibroblast and mural cell subsets in models of neuropathic pain [scRNA-seq]
GSE289659,single_cell_nucleus,single_nucleus,raw_tar,Rattus norvegicus,16,2025,pending,raw_tar_filenames_match_neither_groups_nor_vocabulary,Single-nuclei RNA Sequencing Reveals Distinct Transcriptomic Signatures of Rat Dorsal Root Ganglia in a Disc-associated Chronic Low Back Pain Model
GSE312510,single_cell_nucleus,single_nucleus,raw_tar,Homo sapiens,8,2025,exclude,no_case_control_split_in_series_matrix,Single-nucleus RNA sequencing of the cells obtained from acupoint BL23 (Shenshu) in low back pain.
GSE328175,single_cell_nucleus,single_cell,raw_tar,Mus musculus,8,2026,pending,usable_pending_file_check,Spinal signatures of entrenched and treated neuropathic pain in male mice [scRNA-seq]
