accession,species,tier,verdict,reason_code,reason_source,reason_code_proposed,platform,year,title,url,n_samples,source
ST000218,Homo sapiens,prioritised,exclude,faecal_scfa_panel_not_a_comparable_compartment,phenotype_scope_2026_08_30,,GC-MS,2015,Role of Microbiome in Psoriatic Arthritis (SCFA in PsA),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST000218,89,METABOLOMICS_WORKBENCH
ST000585,Homo sapiens,prioritised,exclude,no_abundances_deposited,reviewer+rest_validation,,LC-MS,2017,Metabolomic profiling of follicular fluid from patients with infertility-related deep endometriosis.,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST000585,92,METABOLOMICS_WORKBENCH
ST000603,Homo sapiens,prioritised,include,usable_pending_file_check,reviewer+rest_validation,,GC-MS,2017,"Urinary Volatile Compound, Associated with Chronic Inflammation In Interstitial Cystitis",https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST000603,20,METABOLOMICS_WORKBENCH
ST000676,Mus musculus,prioritised,include,usable_pending_file_check,reviewer+rest_validation,,LC-MS,2017,Effect of high fat diet and streptozotocin treatment on neuropathy,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST000676,236,METABOLOMICS_WORKBENCH
ST000780,Mus musculus,prioritised,include,usable_pending_file_check,reviewer+rest_validation,,LC-MS,2017,High fat diet and sciatic nerves functions,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST000780,48,METABOLOMICS_WORKBENCH
ST000876,Homo sapiens,prioritised,exclude,no_control_arm_in_factors,reviewer+rest_validation,,MS(Dir. Inf.),2017,Human serum for a patient with neuropathy being treated with L-serine.,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST000876,13,METABOLOMICS_WORKBENCH
ST001121,Homo sapiens,prioritised,exclude,no_control_arm_in_factors,reviewer+rest_validation,,LC-MS,2019,Identification of urine metabolites in patients with interstitial cystitis using untargeted metabolomics (part I),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001121,43,METABOLOMICS_WORKBENCH
ST001122,Homo sapiens,prioritised,exclude,no_control_arm_in_factors,reviewer+rest_validation,,LC-MS,2019,Identification of urine metabolites in patients with interstitial cystitis using untargeted metabolomics (part II),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001122,43,METABOLOMICS_WORKBENCH
ST001327,Mus musculus,prioritised,exclude,no_pain_phenotype,reviewer+rest_validation,,LC-MS,2020,Mitochondrial Lipid Profiles in Traumatic Optic Neuropathy,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001327,32,METABOLOMICS_WORKBENCH
ST001412,Homo sapiens,prioritised,include,usable_pending_file_check,reviewer+rest_validation,,LC-MS,2020,Metabolomics study in Plasma of Obese Patients with Neuropathy Identifies Potential Metabolomics Signatures,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001412,131,METABOLOMICS_WORKBENCH
ST001815,Homo sapiens,prioritised,exclude,no_control_arm_in_factors,reviewer+rest_validation,,GC-MS/LC-MS,2021,Metabolic Markers of Methotrexate Response in Juvenile Idiopathic Arthritis,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001815,60,METABOLOMICS_WORKBENCH
