accession,verdict,reason_code,species,has_human,has_animal,n_files,title
PXD054342,processed_table,candidate_table:proteinGroups.txt,Mus musculus,False,True,18,Proteomic Analysis of Spinal Dorsal Horn in Prior-Exercise Protection against Neuropathic Pain
PXD046464,raw_only,no_recognised_quantification_table,Homo sapiens,True,False,100,Plasma proteomic analysis on neuropathic pain in idiopathic peripheral neuropathy patients
PXD017473,raw_only,no_recognised_quantification_table,Rattus norvegicus,False,True,100,Quantative proteomic analysis of teh central amygdala in neuropathic pain model rats
PXD067890,raw_only,no_recognised_quantification_table,Homo sapiens,True,False,25,TMT-based quantitative proteomic analysis of serum from patients with postherpetic neuralgia reveals a key role of Endog
PXD073925,raw_only,no_recognised_quantification_table,Mus musculus,False,True,35,Recombinant dimeric PICK1 protein inhibitors for long-term relief of chronic pain by AAV therapeutics
PXD074049,raw_only,no_recognised_quantification_table,Mus musculus,False,True,35,Recombinant dimeric PICK1 protein inhibitors for long-term relief of chronic pain by AAV therapeutics
PXD034960,raw_only,no_recognised_quantification_table,Rattus norvegicus,False,True,20,Quantitative proteomic analysis of cellular nuclear protein TMT markers from  rat spinal cord tissue samples in neuropat
PXD022478,raw_only,no_recognised_quantification_table,Rattus norvegicus,False,True,72,Chronic pain susceptibility is associated with anhedonic behavior and alterations in the accumbal ubiquitin-proteasome s
PXD072701,raw_only,no_recognised_quantification_table,Mus musculus,False,True,100,Temporal Multi-Omic Exploration of the Ventral Tegmental Area in Chronic Pain and Passive Coping Behaviors
PXD039251,raw_only,no_recognised_quantification_table,Mus musculus,False,True,16,Targeting Supramolecular Active Complexes of Nav 1.7/Nav 1.8 to Relieve Chronic Neuropathic Pain
PXD022886,raw_only,no_recognised_quantification_table,Homo sapiens,True,False,82,Serum proteomics of sng- and pain-trend fibromyalgia patients
PXD038416,raw_only,no_recognised_quantification_table,Mus musculus,False,True,11,Ventral hippocampal CA1 modulates pain behaviors in mice with peripheral inflammation
PXD030391,raw_only,no_recognised_quantification_table,Mus musculus,False,True,18,Adipose tissue is a pro-active player in sex dependent response to neuropathy
PXD055816,processed_table,candidate_table:GeneGroup_Quant_224Samples.csv,Mus musculus,False,True,4,Deep proteome profiling of dorsal root ganglia after nerve injury deciphers shared signatures in adolescent and adult ma
