accession,species,n_samples,year,assay,verdict,reason_code,reason_source,n_case,n_control,title
GSE134003,Mus musculus,19,2021,single_cell,include,usable_case_control_contrast,step18_group_assignment,9,10,Single cell RNA-seq of the spinal cord in a neuropathic pain model.
GSE155622,Mus musculus,314,2021,single_cell,include,usable_case_control_contrast,step18_group_assignment,13,5,Single-Cell Transcriptomic Analysis of Somatosensory Neurons Uncovers Temporal Development of Neuropathic Pain
GSE162807,Homo sapiens; Mus musculus,31,2020,single_cell,include,usable_case_control_contrast,step18_group_assignment,10,15,Single-cell RNA sequencing reveals time- and sex-specific responses of spinal cord microglia to peripheral nerve injury and links ApoE to neuropathic pain
GSE179640,Homo sapiens,59,2022,single_cell,include,usable_case_control_contrast,step18_group_assignment,9,3,Single cell analysis of endometriosis reveals a coordinated transcriptional program driving immunotolerance and angiogenesis across eutopic and ectopic tissues
GSE198608,Rattus norvegicus,24,2022,single_cell,include,usable_case_control_contrast,step18_group_assignment,13,11,Single-cell RNA sequencing reveals the link between axonal regeneration and neuropathic pain by modified analysis of a novel peripheral nerve injury rat model
GSE203191,Homo sapiens,11,2022,single_cell,exclude,no_case_control_split_in_series_matrix,single_cell_contrast_audit,,,Single cell analysis of menstrual endometrial tissues defines phenotypes associated with endometriosis
GSE213216,Homo sapiens,51,2022,single_cell,exclude,all_samples_case_like_no_control_arm,single_cell_contrast_audit,,,A single-cell transcriptomic analysis of endometriosis
GSE214411,Homo sapiens,13,2023,single_cell,include,usable_case_control_contrast,step18_group_assignment,6,4,Single-cell Transcriptomics of Endometrial Cells from Patients with Minimal/mild Endometriosis.
GSE222182,Homo sapiens,9,2023,single_cell,exclude,all_samples_case_like_no_control_arm,single_cell_contrast_audit,,,Single cell RNA-seq data for studying human intervertebral discs and the mechanism of discogenic low back pain
GSE253345,Mus musculus,9,2024,single_cell,exclude,below_min_samples_per_group_1_case_3_control,step18_group_assignment,1,3,The single-cell transcriptomic atlas iPain identifies senescence of nociceptors as a therapeutical target for chronic pain treatment
GSE254360,Mus musculus,15,2025,single_nucleus,include,usable_case_control_contrast,step18_group_assignment,6,6,Single-nucleus transcriptomic analysis of the amygdala of mice in acute and chronic neuropathic pain
GSE266026,Homo sapiens,7,2024,single_cell,exclude,all_samples_case_like_no_control_arm,single_cell_contrast_audit,,,Single cell sequencing datasets of tibial nerves from diabetic neuropathy (DPN) patients and traumatic limb amputation (TLA) patients.
GSE266265,Homo sapiens,60,2026,single_cell,exclude,all_samples_case_like_no_control_arm,single_cell_contrast_audit,,,Endometrial Insights: Unmasking Endometriosis through Single-Cell Profiling and AI-Based Prediction
GSE276193,Homo sapiens,18,2025,single_cell,exclude,bulk_rna_seq_not_single_cell_in_this_deposit,single_cell_contrast_audit,,,Integrative Single-Cell Analysis Reveals Iron Overload-Induced Senescence and Metabolic Reprogramming in Ovarian Endometriosis-Associated Infertility
GSE283177,Mus musculus,6,2024,single_cell,include,usable_case_control_contrast,step18_group_assignment,3,3,A role for fibroblast and mural cell subsets in models of neuropathic pain [scRNA-seq]
GSE289659,Rattus norvegicus,16,2025,single_nucleus,include,usable_case_control_contrast,step18_group_assignment,4,12,Single-nuclei RNA Sequencing Reveals Distinct Transcriptomic Signatures of Rat Dorsal Root Ganglia in a Disc-associated Chronic Low Back Pain Model
GSE312510,Homo sapiens,8,2025,single_nucleus,exclude,all_samples_case_like_no_control_arm,single_cell_contrast_audit,,,Single-nucleus RNA sequencing of the cells obtained from acupoint BL23 (Shenshu) in low back pain.
GSE328175,Mus musculus,8,2026,single_cell,include,usable_case_control_contrast,step18_group_assignment,3,3,Spinal signatures of entrenched and treated neuropathic pain in male mice [scRNA-seq]
