accession,sample_id,title,group,subject,reason
GSE134003,GSM3932591,SI01,control,GSM3932591,control_on_title
GSE134003,GSM3932592,SI02,control,GSM3932592,control_on_title
GSE134003,GSM3932593,SI03,control,GSM3932593,control_on_title
GSE134003,GSM3932594,SI04,control,GSM3932594,control_on_title
GSE134003,GSM3932595,SI05,control,GSM3932595,control_on_title
GSE134003,GSM3932596,SI06,control,GSM3932596,control_on_title
GSE134003,GSM3932597,SI07,control,GSM3932597,control_on_title
GSE134003,GSM3932598,SI08,control,GSM3932598,control_on_title
GSE134003,GSM3932599,SI09,control,GSM3932599,control_on_title
GSE134003,GSM3932600,SI10,control,GSM3932600,control_on_title
GSE134003,GSM3932601,SNI01,case,GSM3932601,case_on_title
GSE134003,GSM3932602,SNI02,case,GSM3932602,case_on_title
GSE134003,GSM3932603,SNI03,case,GSM3932603,case_on_title
GSE134003,GSM3932604,SNI05,case,GSM3932604,case_on_title
GSE134003,GSM3932605,SNI06,case,GSM3932605,case_on_title
GSE134003,GSM3932606,SNI07,case,GSM3932606,case_on_title
GSE134003,GSM3932607,SNI08,case,GSM3932607,case_on_title
GSE134003,GSM3932608,SNI09,case,GSM3932608,case_on_title
GSE134003,GSM3932609,SNI10,case,GSM3932609,case_on_title
GSE155622,GSM4708679,Single Dorsal root ganglion neuron_SNI 14d [N101],,GSM4708679,excluded_not_eligible_on_technology
GSE155622,GSM4708680,Single Dorsal root ganglion neuron_SNI 14d [N102],,GSM4708680,excluded_not_eligible_on_technology
GSE155622,GSM4708681,Single Dorsal root ganglion neuron_SNI 14d [N103],,GSM4708681,excluded_not_eligible_on_technology
GSE155622,GSM4708682,Single Dorsal root ganglion neuron_SNI 14d [N104],,GSM4708682,excluded_not_eligible_on_technology
GSE155622,GSM4708683,Single Dorsal root ganglion neuron_SNI 14d [N105],,GSM4708683,excluded_not_eligible_on_technology
GSE155622,GSM4708684,Single Dorsal root ganglion neuron_SNI 14d [N108],,GSM4708684,excluded_not_eligible_on_technology
GSE155622,GSM4708685,Single Dorsal root ganglion neuron_SNI 14d [N109],,GSM4708685,excluded_not_eligible_on_technology
GSE155622,GSM4708686,Single Dorsal root ganglion neuron_SNI 14d [N111],,GSM4708686,excluded_not_eligible_on_technology
GSE155622,GSM4708687,Single Dorsal root ganglion neuron_SNI 14d [N112],,GSM4708687,excluded_not_eligible_on_technology
GSE155622,GSM4708688,Single Dorsal root ganglion neuron_SNI 14d [N113],,GSM4708688,excluded_not_eligible_on_technology
GSE155622,GSM4708689,Single Dorsal root ganglion neuron_SNI 14d [N114],,GSM4708689,excluded_not_eligible_on_technology
GSE155622,GSM4708690,Single Dorsal root ganglion neuron_SNI 14d [N115],,GSM4708690,excluded_not_eligible_on_technology
GSE155622,GSM4708691,Single Dorsal root ganglion neuron_SNI 14d [N117],,GSM4708691,excluded_not_eligible_on_technology
GSE155622,GSM4708692,Single Dorsal root ganglion neuron_SNI 14d [N119],,GSM4708692,excluded_not_eligible_on_technology
GSE155622,GSM4708693,Single Dorsal root ganglion neuron_SNI 14d [N121],,GSM4708693,excluded_not_eligible_on_technology
GSE155622,GSM4708694,Single Dorsal root ganglion neuron_SNI 14d [N122],,GSM4708694,excluded_not_eligible_on_technology
GSE155622,GSM4708695,Single Dorsal root ganglion neuron_SNI 14d [N123],,GSM4708695,excluded_not_eligible_on_technology
GSE155622,GSM4708696,Single Dorsal root ganglion neuron_SNI 14d [N125],,GSM4708696,excluded_not_eligible_on_technology
