accession,species,n_samples,year,retrieval,verdict,reason_code,reason_source,title,url,annotation_status,n_case,n_control
GSE101176,Homo sapiens,12,2019,amendment_2026_08_28,exclude,in_vitro_stimulus_not_patient_contrast,rescreen_2026_09_12,Peritoneal fluid from subjects with endometriosis regulates gene expression in cultured endometrial cells,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE101176,,,
GSE10238,Rattus norvegicus,156,2008,original,include,already_in_pooled_analysis,automatic_screen,Complement activation in the peripheral nervous system following the spinal nerve ligation model of neuropathic pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE10238,skipped_existing,,
GSE102721,Mus musculus,12,2018,original,include,already_in_pooled_analysis,automatic_screen,Mechanistic differences in neuropathic pain modalities revealed by correlating behavior with global expression profiling (RNA-Seq),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102721,skipped_existing,,
GSE102937,Mus musculus,52,2018,original,exclude,superseries_duplicates_subseries,series_matrix_gsm_overlap,Mechanistic differences in neuropathic pain modalities revealed by correlating behavior with global expression profiling,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102937,skipped_existing,,
GSE104176,Homo sapiens,30,2019,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,The medium-chain free fatty acid receptor GPR84 is expressed in pro-inflammatory macrophages and mediates inflammatory sequelae in endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104176,no_split,,
GSE111216,Mus musculus,36,2019,original,pending,usable_pending_file_check,automatic_screen,Mouse transcriptomics reveals extracellular matrix organization as a major pathway involved in inflammatory and neuropathic pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE111216,skipped_existing,,
GSE11343,Mus musculus,19,2008,amendment_2026_08_28,include,da_complete_effects_written,step05_da_2026_08_29,Rosiglitazone Treatment Reduces Diabetic Neuropathy in STZ treated DBA/2J mice,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11343,annotated,5.0,5.0
GSE113941,Mus musculus,18,2018,original,include,already_in_pooled_analysis,automatic_screen,Nociceptor translational profiling reveals the RagA-mTORC1 network as a critical generator of neuropathic pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE113941,skipped_existing,,
GSE115565,Homo sapiens,11,2020,original,exclude,no_pain_versus_control_contrast,automatic_screen,Human iPSC-derived GABAergic Interneuron Transplants Attenuate Neuropathic Pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115565,no_split,,
GSE11691,Homo sapiens,18,2008,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Euctopic and ectopic human endometrium (endometriosis),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11691,no_split,,
